seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770001,47,B,17,10,15,47,9,5,1,2,4,5,0,0,-1
770001,48,A,47,9,25,17,0,25,1,2,5,5,0,0,1
770001,48,B,17,0,25,47,9,25,1,2,5,5,0,0,-1
770001,49,A,62,24,55,17,0,45,2,2,0,0,0,0,1
770001,49,B,17,0,45,62,24,55,2,2,0,0,0,0,-1
770001,50,A,62,24,20,17,0,35,2,2,2,1,0,0,1
770001,50,B,17,0,35,62,24,20,2,2,1,2,0,0,-1
770001,51,A,62,24,15,32,15,35,1,2,3,2,0,0,1
770001,51,B,32,15,35,62,24,15,1,2,2,3,0,0,-1
770001,52,A,47,24,35,32,15,25,1,2,3,3,0,0,1
770001,52,B,32,15,25,47,24,35,1,2,3,3,0,0,-1
770001,53,A,47,24,30,32,5,10,1,2,4,5,0,0,1
770001,53,B,32,5,10,47,24,30,1,2,5,4,0,0,-1
770001,54,A,62,39,30,32,5,30,1,2,5,5,0,0,1
770001,54,B,32,5,30,62,39,30,1,2,5,5,0,0,-1
770001,55,A,62,9,40,17,5,60,1,2,1,0,0,0,1
770001,55,B,17,5,60,62,9,40,1,2,0,1,0,0,-1
770001,56,A,62,9,30,2,5,55,2,2,2,1,0,0,1
770001,56,B,2,5,55,62,9,30,2,2,1,2,0,0,-1
770001,57,A,62,9,40,2,5,35,1,2,3,3,0,0,1
770001,57,B,2,5,35,62,9,40,1,2,3,3,0,0,-1
770001,58,A,77,24,40,2,5,15,1,2,4,4,0,0,1
770001,58,B,2,5,15,77,24,40,1,2,4,4,0,0,-1
770001,1,A,100,100,100,100,100,100,5,0,0,0,1,1,-1
770001,1,B,100,100,100,100,100,100,5,0,0,0,1,1,1
770001,2,A,100,100,90,100,60,100,8,0,1,1,1,1,-1
770001,2,B,100,60,100,100,100,90,8,0,1,1,1,1,1
770001,3,A,100,60,100,100,75,100,10,0,2,2,1,1,-1
770001,3,B,100,75,100,100,60,100,10,0,2,2,1,1,1
770001,4,A,100,60,85,100,75,90,8,0,4,3,1,1,-1
770001,4,B,100,75,90,100,60,85,8,0,3,4,1,1,1
770001,5,A,100,60,100,100,75,70,9,0,4,5,1,1,-1
770001,5,B,100,75,70,100,60,100,9,0,5,4,1,1,1
770001,6,A,100,60,100,100,75,90,10,0,0,5,1,1,-1
770001,6,B,100,75,90,100,60,100,10,0,5,0,1,1,1
770001,7,A,100,50,100,100,75,100,10,0,1,0,1,1,-1
770001,7,B,100,75,100,100,50,100,10,0,0,1,1,1,1
770001,8,A,100,63,100,100,65,100,10,0,2,1,1,1,-1
770001,8,B,100,65,100,100,63,100,10,0,1,2,1,1,1
