1910001,1,A,100,100,100,100,100,100,5,0,0,0,1,1,0,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,1,B,100,100,100,100,100,100,5,0,0,0,1,1,0,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,2,A,100,100,95,100,90,100,4,0,1,1,1,1,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,2,B,100,90,100,100,100,95,4,0,1,1,1,1,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,3,A,100,60,80,100,50,100,4,0,3,2,1,1,0,0,3,4,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,3,B,100,50,100,100,60,80,4,0,2,3,1,1,0,0,4,3,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,4,A,100,50,90,100,50,95,5,0,4,3,1,1,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,4,B,100,50,95,100,50,90,5,0,3,4,1,1,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,5,A,100,50,80,100,65,95,7,0,0,4,1,1,0,0,6,2,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,5,B,100,65,95,100,50,80,7,0,4,0,1,1,0,0,2,6,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,6,A,100,10,70,100,25,100,7,0,2,0,1,1,0,0,4,6,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,6,B,100,25,100,100,10,70,7,0,0,2,1,1,0,0,6,4,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,7,A,100,10,90,100,15,100,7,0,2,1,1,1,0,0,4,5,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,7,B,100,15,100,100,10,90,7,0,1,2,1,1,0,0,5,4,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,8,A,100,10,100,100,15,100,6,0,2,2,1,1,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,8,B,100,15,100,100,10,100,6,0,2,2,1,1,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,9,A,100,25,100,100,30,100,6,0,3,3,1,1,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,-1
